feature,encoding,spotify_id,value,feature_id,name
acousticness,high,00bc7aBgwI1wD3zEwrcH4h,0.55,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,00uvWPbNBali6gKlZxUxIU,0.965,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,01K4zKU104LyJ8gMb7227B,0.817,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,01YROQCnF1AQm7SCWJmD2o,0.768,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,02jLfqc9gMo8PkHEGHY3OT,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,03S1E7nJqu4b6b5hGXrVbu,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,05ZSCn13G8972C6oQjI3Gb,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,05tlwh83naFnMl1JGCwVsV,0.991,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,05va6lHB6UfUvKgcgmgULC,0.743,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,06HOVRn6sWa9AhEb8vxXG9,0.987,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,06Uu0bQNx2WMFIWY09nTxN,0.964,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,08Yr9ZoYLxPGge8ecMGMlG,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0A1JLUlkZkp2EFrosoNQi0,0.785,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0AfIR8VasA54q69YtrNbSV,0.808,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0AjcdGri5vhJsmZnduCEqd,0.761,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0BiqmkasE5FdrChwKfVp8X,0.826,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0CEQAgaOtbhVlxzIlgdJ66,0.87,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0CKmN3Wwk8W4zjU0pqq2cv,0.689,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0CMYUXTTTmI6Lwc0opH2XG,0.99,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0D1OY0M5A0qD5HGBvFmFid,0.879,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0DbcdVCzmY1IjilPTPaSOe,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0E0DRHf5PfMeor0ZCwB3oT,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0E2ARPr6Anq8l4dwsu8hbP,0.774,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0EF1EE8zusg3Y869e56JFd,0.863,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0EqczV3o6fwksegAavIHpX,0.832,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0FQyOcOjIKV2wyz6ZXMic9,0.822,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0GNVXNz7Jkicfk2mp5OyG5,0.799,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0GocVBngN9RHyWlfQnS4Th,0.989,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0IThMukvMBCyCXWblM4fh7,0.846,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0IckBeArn5uLK96ddfW8zK,0.592,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0Jlcvv8IykzHaSmj49uNW8,0.757,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0Jw3cPBXlGnA6DEJrZSTI0,0.571,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0KkCsYHv7QgzKpNm4pcVj9,0.968,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0KmgJyW4GDgonqsoyx0CZ3,0.593,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0LAhBAJOM0IzqOaMvuFLZq,0.775,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0LQtEJt7x0s6knb6RKdRYc,0.645,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0MRao1qyMY3GJVBRd1CYOF,0.922,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0Me3GyNuLOa1YTIxhJPyCn,0.688,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0N5NNIaNs3YVhiyt22ZYhG,0.995,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0Nfh4u0J4bajcyp5pzaWCx,0.6,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0OFknyqxmSQ42SoKxWVTok,0.597,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0OTNHGKcqQbk51bOYe462Y,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0QRHOAeU8JRaVVn3UoZBih,0.632,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0QZ5yyl6B6utIWkxeBDxQN,0.969,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0RujXee9prjXv59EPhKPcd,0.995,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0T9HkYHyoI0SUTeGOQo85z,0.961,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0TCt7OFRdD8PQ6vTRQxNgQ,0.639,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0UEBfC8wWijoWnaXXpL641,0.878,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0Vamcab1ClWW7u8rAiwT5d,0.576,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0VcObbPULLRrYj4o33Eidc,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0WP6U0BFCgvlK1eZolIBUg,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0WZ5paMR4zJAdjkBgCVAYN,0.606,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0WirE9soFSbeq15cg8uIRy,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0YFqKxV9uNu6LUeYkLOKRS,0.736,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0d5OZ7YYD8YXlXGitjHO0n,0.579,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0eIeUNfz7WO5D6Krg9NYoh,0.99,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0g2Bbgy7P41pFjMWJuzsf4,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0hquQWY3xvYqN4qtiquniF,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0i4UV3HjjvsUuV3BajEXoD,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0j1Ia2lQWrcXrQZI4AdJlk,0.886,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0j8jhVHMHLb3MFEmC0jGgt,0.99,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0kTMK4gNFfLXaTb62w1UaJ,,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0lGewtbWP8unTgrLmAnjX2,0.94,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0lx2cLdOt3piJbcaXIV74f,0.833,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0m9vOqTow5AWQzSEtUCKW9,0.882,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0mYZDzhKs8sa0oDsS6HSZ5,0.979,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0mflMxspEfB0VbI1kyLiAv,0.782,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0nJW01T7XtvILxQgC5J7Wh,0.932,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
acousticness,high,0nnHhbBzCBEpCRQs8uHM3T,0.641,abe8fc53-f856-49a0-88a0-ccb95d752cba,Acousticness (High)
