genres,genre_uuid
alternative hip hop,5f0bebe7-6902-4ed4-b8dc-1d1290f92cec
east coast hip hop,729bf0fd-7b6d-40a8-9beb-fd8cb8eb1a8a
gangster rap,ec38f8cf-cd23-4f19-af8b-62c637c16a8c
hardcore hip hop,f178706a-feee-4e97-81ce-a451350bd48c
hip hop,cb54c226-686f-4e9f-80db-5dbddb555c6a
rap,4611d3b2-f88b-45a4-ae06-8dd158031bcf
southern hip hop,3d7a782e-8e33-4afc-9344-8b669b86f7cf
latin,aa1ee3e4-4808-4ac6-a979-5f44359f5575
r&b en espanol,fa20dd38-e28d-4a4c-9d7b-c3ce5cecd285
reggaeton,bda8b2c9-1223-49a4-bb98-841156eedd26
trap latino,da4d87f8-e01b-4aa7-8db0-d3c2c2901295
atl hip hop,eec45424-a71d-43dd-aa03-ad1b7c76b799
atl trap,363a02f6-5552-4f6a-96ac-cefdbce8ca0a
trap,a39eb526-4648-4bb4-8cee-ede59b59fb08
indie garage rock,608c2754-cf4e-49fd-a339-a083aa00c195
indie pop,dd6e581c-06dc-44ca-9a5a-79e7118b10db
indie surf,6f7f31fc-b121-47ce-99df-63cf701e791c
surf punk,a8f6388d-4f22-41be-82ce-936b5de0d5b6
vegas indie,9285cf9c-5ecb-4316-87c1-276ad42d3f70
baroque pop,e75f9ea7-1731-4529-97d6-080cdc77d038
emo,e4daacd6-6110-4a2d-a46e-cc21d4d845b6
modern rock,b552810e-80ff-421b-9aea-63c947829709
perreo,23af1adb-dadd-4c90-8be6-514193d54b13
indie folk,88459472-5421-4eae-ac58-b47b5f707c41
stomp and holler,81372cc4-f080-40ec-95ef-acd7eb73ee2d
dance pop,b5e5f1ca-986f-416e-b1b7-a290637fb6b5
pop,9dd8490a-7bb3-4025-b975-7db161ed95c6
post-teen pop,f212cf45-75f7-4f95-b2b6-a3598d2c60e1
pop rap,f56535a4-eac0-4bfa-90cd-7d33576f6816
house,5d329acb-ca38-45ac-80de-72c753e46b7e
pop dance,787148ae-d657-40e7-9d45-86ad9a5f3da4
pop house,b280cc4c-629f-4519-96a2-f9713b441e23
tropical house,6cd87ba9-3698-4ddc-be6a-e8856780c767
uk dance,25169691-43b0-4506-b129-405fa70681dd
uk pop,2a266fa8-aee8-47af-9b8c-c62e111a1370
spanish hip hop,c1fecfd3-c989-4987-9a63-0750564e1204
urbano espanol,1802c4a3-c63f-42a0-bc29-2bcdfbf785e3
reggaeton flow,ebe12fc2-84db-40c2-bca7-2b4866b48e4a
funk carioca,e6c91480-fbbd-47de-9d29-2d8755f12c68
funk ostentacao,9ca4c9fc-9def-45ac-8168-92ac63d776d5
trap funk,6e6aa701-61c6-4c03-8fd6-cfe9f1c18fa8
latin pop,b1801ce4-7f98-4e36-b433-3e7ff8b055ba
