spotify_id,name,genres,followers,popularity
26cMerAxjx9GedFt0lMDjm,Bella Poarch,['modern alternative pop'],1184839,62
5JZ7CnR6gTvEMKX4g70Amv,Lauv,['pop'],6086739,74
246dkjvS1zLTtiykXe5h60,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",43034258,86
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",75576743,93
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",1145774,70
4A4qYy2jK9DDN1OHV0nLkH,Código FN,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'sad sierreno']",907687,69
7tr9pbgNEKtG0GQTKe08Tz,Mk.gee,['experimental r&b'],94240,45
3QCMLWLjJyGA8cQCPrusdv,Two star,[],1084,38
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,"['pluggnb', 'rage rap']",3676181,82
06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],95122060,100
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,"['indie pop', 'la indie', 'pov: indie']",2082669,76
164hs3x1Tsp3FgJWNHee1r,The Citizens of Halloween,['halloween'],22655,55
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,['musica chihuahuense'],2484131,84
5TvFfw1MgSntdU9A7yncyA,Dxrk ダーク,['drift phonk'],447631,63
1YWJ1WjMkBCB1X3QOJ1Wdn,Cast of High School Musical: The Musical: The Series,['movie tunes'],214135,47
3xvaSlT4xsyk6lY1ESOspO,Disney,['movie tunes'],419285,79
6aLoJJxz7MV2iZ423S8tJC,Doe Boy,"['atl hip hop', 'atl trap', 'memphis hip hop', 'ohio hip hop', 'trap']",253206,53
1GVenmuuAtusi17LY6FvgI,Skilla Baby,['detroit hip hop'],68900,57
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",7150352,75
20sxb77xiYeusSH8cVdatc,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",7716291,73
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",7564010,77
0hF6lbAjRsq4svrQUr5sgU,Kyle Richh,['new york drill'],191683,65
2LRoIwlKmHjgvigdNGBHNo,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",8608725,89
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"['dance pop', 'pop']",27590072,86
6dhd3wcal02KeLBk5wScfd,Lah Pat,['pop rap'],33348,61
08PvCOlef4xdOr20jFSTPd,Flo Milli,['viral rap'],696910,66
5xXU7WqQdNvKtsZpeP08s9,Evan Troop,[],486,3
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",715641,61
6nTTVtUnmZWlPju0qzX7Or,ZODIVK,"['drift phonk', 'gym phonk']",54651,59
3gBZUcNeVumkeeJ19CY2sX,Ken Carson,['rage rap'],905316,76
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",19700289,85
