index,keyword
0,cabeza
1,liar
2,suena
3,onde
4,time
5,gyal
6,suelta
7,norte
8,dormir
9,moment
10,irte
11,rock
12,ninguno
13,solo
14,heart
15,pensando
16,alien
17,taylor
18,parece
19,darkie
20,shake
21,toco
22,army
23,girl
24,cuero
25,great
26,potential
27,inevitable
28,relation
29,kill
30,comerte
31,lonely
32,loca
33,diste
34,project
35,grandmother
36,somethin
37,mention
38,spotify
39,discover
40,middle
41,choru
42,beber
43,speak
44,day
45,amigo
46,sweep
47,winner
48,verde
49,famous
50,pleasure
51,cualquier
52,violet
53,cuenta
54,ticket
55,fuck
56,baile
57,ynw
58,prende
59,worried
60,real
61,doble
62,triple
63,eye
64,wise
65,young
66,gather
67,crazy
68,pinkpantheress
69,issue
70,nunca
71,make
72,find
73,beauty
74,love
75,dime
76,original
77,cap
78,prender
79,pista
80,mysterious
81,point
82,root
83,livin
84,conmigo
85,course
86,sensation
87,sertões
88,grand
89,lemonade
90,vida
91,shit
92,dando
93,toxic
94,cambiar
95,guermante
96,perro
97,daylight
98,revolutionary
99,leave
100,embed
101,sugar
102,cartier
103,manejar
104,liveget
105,nadie
106,higher
107,pone
108,bt
109,remix
110,paíse
111,pasarla
112,rio
113,telephone
114,see
115,decirte
116,loco
117,tonight
118,extra
119,trance
120,dile
121,verdad
122,sort
123,baby
124,life
125,dance
126,lejitos
127,cuerpo
128,indeed
129,beggin
130,afternoon
131,troubled
132,ringin
133,back
134,long
135,cable
136,highly
137,mundo
138,guitar
139,françoise
140,hear
141,cama
142,night
143,raj
144,pause
145,dale
146,tulum
147,frontear
148,record
149,visto
150,wit
151,ehc
152,music
153,dio
154,doja
155,cut
156,put
157,dazzle
158,order
159,sufferation
160,error
161,neike
162,sebastian
163,haga
164,boy
165,joke
166,rich
167,woman
168,pop
169,conoce
170,notice
171,remain
172,feel
173,fumando
174,oy
175,carnal
176,hacer
177,lyric
178,grande
179,big
180,vacacione
181,watermelon
182,dancer
183,go
184,hagoembed
185,camino
186,black
187,quiere
188,perdido
189,summer
190,darkness
191,hallow
192,unknown
193,pale
194,bloody
195,bitch
196,ojal
197,bathroom
198,toda
199,olvidar
200,hip
201,duchess
202,rise
203,bloom
204,word
205,perfume
206,appear
207,tenemo
208,voy
209,keep
210,grey
211,crew
212,low
213,verso
214,holy
215,snare
216,form
217,flow
218,hand
219,religion
220,pose
221,villeparisis
222,loup
223,rinde
224,mme
225,state
226,barrio
227,muchas
228,mirror
229,air
230,engagement
231,imposible
232,mejor
233,give
234,wet
235,person
236,lenta
237,chorus
238,aunque
239,motion
240,summertime
241,begin
242,plate
243,win
244,run
245,electric
246,sentir
247,pre
248,somo
249,pegado
250,version
251,surface
252,part
253,crowd
254,crucify
255,mientras
256,verse
257,ver
258,kymco
259,sleepy
260,light
261,perfectly
262,cozy
263,terra
264,parking
265,comb
266,speech
267,favor
268,equivoco
269,noche
270,oxygen
271,future
272,enemigo
273,spear
274,suspicious
275,rodeo
276,borracho
277,ough
278,seat
279,champ
280,nation
281,burnin
282,tony
283,old
284,lil
285,buen
286,artist
287,sabe
