spotify_id,name,popularity,streams,release_date,key,mode,duration_ms
00Apys6jYrWA0Bse9Yon6O,Crush,70,,2023-09-15,B,Minor,175636.0
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),76,539595276,2021-11-05,C#,Major,193507.0
00bc7aBgwI1wD3zEwrcH4h,No Quiero Perderte,72,,2023-05-11,G#,Major,159531.0
00uvWPbNBali6gKlZxUxIU,Are You Looking Up,52,,2023-10-20,B,Major,166520.0
00zk0uua6s2ifh0Nc3ppfW,Nun id change,80,,2023-02-24,D,Major,211253.0
01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),78,,2021-11-12,C,Major,258813.0
01YROQCnF1AQm7SCWJmD2o,This Is Halloween,75,,2006-01-01,G,Major,196560.0
01cN1DKc5HH7F9MOBBjSip,AMOR PROPIO,80,,2023-10-19,A,Major,172485.0
01kfSdF9zfcDLri5sSWEoL,RAVE,81,,2022-03-18,G#,Major,169245.0
01tNpXoTjrqvb1zhG6wmop,You Never Know,54,,2022-08-03,C#,Minor,196620.0
02G0mbFgtqS3h1Ek29tBWW,Smack Sh*t,57,,2023-09-22,D,Major,178965.0
02K2VtGdUG5fUlAQATEgE6,SHAQ & KOBE,67,,2023-09-29,A#,Minor,219617.0
02WbmXcfVEPDOZH91K8OtL,I Should've Known (feat. Kyle Richh),64,,2023-10-20,C#,Major,147691.0
02jLfqc9gMo8PkHEGHY3OT,Si Te La Encuentras Por Ahí,70,179061440,2022-08-05,,,
032UZ3KVrzII6AE9Abnj7z,Go Off,72,,2023-09-22,F,Minor,197493.0
035MzEbx4z2DxuRDymHXbv,Rodeo (Remix),82,,2023-02-24,B,Major,245959.0
03S1E7nJqu4b6b5hGXrVbu,High and Low,1,91473363,2018-12-06,,,
03xWMkKEbeO4SnylA53ipj,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",71,,2010-01-01,E,Major,152333.0
04cMUwER7r2VwqMCj4kYJ9,Devil Eyes,76,,2022-01-28,D,Major,136652.0
04hgBWsBDEyVP8pH0BCZbG,Jennifer’s Body,77,,2023-10-13,C#,Major,158515.0
05OnZaYopHpb0z7ktT2FIF,PICARDÍA,77,,2023-07-07,D,Major,215172.0
05ZSCn13G8972C6oQjI3Gb,VA Is Not 4 Loverz,0,121077868,2022-05-27,,,
05eZlxyjbkHMPCnunUasCS,"How Long - From""Euphoria"" An HBO Original Series",60,1042568408,2022-01-26,G,Minor,199314.0
05gfZXQTP21TTFh8jKhyGX,BLOODLINE ZYZZ HARDSTYLE,31,237351106,2023-03-17,F#,Minor,103934.0
05tlwh83naFnMl1JGCwVsV,Leave the Door Open - POP SONG COVER,0,1115880852,2023-07-29,A,Minor,251769.0
05va6lHB6UfUvKgcgmgULC,Silver Shamrock Song (Happy Halloween) - From the Movie Halloween III,23,52722996,2015,D,Major,127500.0
06HOVRn6sWa9AhEb8vxXG9,Codladh,66,,2023-03-16,C,Major,164000.0
06Uu0bQNx2WMFIWY09nTxN,Dimmed Lights,67,,2023-08-27,F,Major,166350.0
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,79,,2017-05-05,G#,Major,180907.0
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,78,530511203,2020-03-13,D,Major,162680.0
07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,64,496795686,2007-09-11,F,Minor,231360.0
07aKw7LfC27IGSb5ppldIQ,3 Doritos Despues (En Vivo),73,,2023-06-09,C,Major,218453.0
07koEqsKHZTlGVMC9eoEjO,The Most Beautiful Thing,70,,2020-06-05,G,Major,235427.0
08LumgBqFIhayWvmjYaQX9,Oracle - Radio Vrs.,0,198883004,2021-10-14,C,Major,67000.0
08Yr9ZoYLxPGge8ecMGMlG,Irish Dance,31,115331792,2012-04-01,,,
08YvUaUsZktAG6zEMDwUqO,Sprinter,65,183706234,2023-06-04,C#,Major,229133.0
09dCk3StPaVK9JpTU6PGN2,Low Tide,63,,2023-10-20,D,Major,143400.0
