track_uuid,track_id,track_name,clean_track,release_date,streams
3a66b800-c182-4880-a882-b05bcc284a7f,6ZUdN0SmTwV7orWD14Emwl,Seven (feat. Latto) (Explicit Ver.),Seven ,2023-07-14,141381703
7af0f4a4-9fa3-4364-9c5c-95808b08e289,4QVghbdDaACqQeVM2VrL3f,LALA,LALA,2023-03-23,133716286
2abb325d-0d85-4835-92ea-b4371820cbaa,5fFg6pNYG5EgXzuEmDSx91,vampire,vampire,2023-06-30,140003974
ca3c5bd0-4333-4e88-9505-dcf9604fb0ee,78H4vN6dPXec4ZajXEBV68,Cruel Summer,Cruel Summer,2019-08-23,800840817
e25366c8-d8f3-40e2-8c46-b6001eaf9bca,1AKQf3zYL3ZhiSMXQGevmR,WHERE SHE GOES,WHERE SHE GOES,2023-05-18,303236322
b401abaa-ac75-4b65-8fa9-51bd698eb3c6,08YvUaUsZktAG6zEMDwUqO,Sprinter,Sprinter,2023-06-01,183706234
1334c779-1443-4007-b0b0-abb20b04a1f5,3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Ella Baila Sola,2023-03-16,725980112
9d8628b2-3664-430a-aad5-f0040647dfe9,16cd0dVZmpvMPfC63kWTSl,Columbia,Columbia,2023-07-07,58149378
9c4a1291-6c51-4ffe-b81f-75e13e143cda,3BWguWmXMv5qMakmIVHUWJ,fukumean,fukumean,2023-05-15,95217315
f2cc1b2b-aa71-4181-9b34-0274d3023827,6mkhB0bUMEEdjtKIrX0TCd,La Bebe - Remix,La Bebe - Remix,2023-03-17,553634067
9b294a23-79c8-4061-a2df-0e060935abd8,2yzshFeBIwH8tWIqHEFLeD,un x100to,un x100to,2023-04-17,505671438
94a80e8d-3b6f-4d5e-b8ad-3a49180902db,6cUH0Ob3pigY24p2lcd7Mc,Super Shy,Super Shy,2023-07-07,58255150
24fff581-ec4e-4a6d-a611-69501f484d8b,5rTXDMyZfyvrjE7czn3rMi,Flowers,Flowers,2023-01-12,1316855716
570e8911-1f60-431e-bed4-3e942eab273e,3LEo0SOxxooypx3nWyCITO,Daylight,Daylight,2023-04-14,387570742
dda32d03-7387-4cd2-9ea1-1dfccc395574,4alHo6RGd0D3OUbTPExTHN,As It Was,As It Was,2022-03-31,2513188493
961b7999-8ae6-4b23-9375-aa969d9f2705,71TSbw9BT6D4w4Pari1Bw1,Kill Bill,Kill Bill,2022-12-08,1163093654
c0a2b613-15b9-46f1-8a95-81d4251276f2,07Tx168RSsUS1HqkDIOZbH,Cupid - Twin Ver.,Cupid - Twin Ver.,2023-02-24,496795686
26cbb21d-11bf-4a3e-adc8-8c6c626e5398,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,30546883
3ed831bf-9645-474c-bb00-832f4e6f7e95,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,Classy 101,2023-03-31,335222234
583b8e99-c8e8-4d4c-a008-bdebf93708aa,6VZwnDUMkAZs36g6v9MVQX,Like Crazy,Like Crazy,2023-03-24,363369738
c1eb4289-4ded-4fac-bd49-d814c3b2e81b,0qYrFdX5T8qMyUp0DSce9U,LADY GAGA,LADY GAGA,2023-06-22,86444842
9d938d38-ac0f-41f9-9910-aeabb6851787,5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,I Can See You ,2023-07-07,52135248
e4bdfd01-fc31-47dc-9c5c-5a00e55e49c0,5bknBRjKJZ643DAN2w8Yoy,I Wanna Be Yours,I Wanna Be Yours,2013-01-01,1297026226
e715d2bf-f34d-4b49-a556-ca4b41054b3b,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-05-31,200647221
439ecb4c-c6c8-4882-95f7-96be3c0875db,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Popular ,2023-06-02,115364561
5d16c119-4b7c-4a09-8060-a2231747cf83,2XiJm507b8ApqHK86BUWlJ,SABOR FRESA,SABOR FRESA,2023-06-22,78300654
7d1cec7e-074c-49f7-b186-fcc397ed3676,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down ,2022-03-25,899183384
ec17acdf-7db2-4eca-a9cb-4fdb850e493b,1dpaN50PdAeiXHYwgK9g2v,MOJABI GHOST,MOJABI GHOST,2023-06-29,61245289
1a4112a2-852c-4aa7-acca-56a9e24a1a4d,3PG9Q89FOydXO8rJesUewH,Last Night,Last Night,2023-01-31,429829812
be12a23c-d6d2-40a5-b9bf-4846bdc851dd,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),Dance The Night ,2023-05-25,127408954
499e1b2a-c0c8-4187-a752-bfb7d4e4e1a4,5gVpENEBYciIKBAEh77V8V,Rush,Rush,2023-07-13,22581161
6f3f0bea-c140-467c-a66e-c00e17030f21,4azq0H9PrWqWtIhFqqeZKM,TULUM,TULUM,2023-06-28,52294266
335f5acc-d971-473f-89f1-d2d2e7cb9a2d,2qy4LQ5B3y8NZ8YxEKrPFy,Creepin',Creepin',2022-12-02,843957510
591a1180-f61a-4d5f-a432-461c4db08906,5hfSkjtChbwFS7Y0ESDr5F,Anti-Hero,Anti-Hero,2022-10-21,999748277
4487b59a-5278-4085-af2d-4b559b600647,2nLO71bixoyhjLXZ6HrnKU,TQG,TQG,2023-02-23,618990393
42b81614-6385-4aeb-ad8e-b1ec81c52268,1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,Los del Espacio,2023-06-01,123122413
101923d3-b819-47e2-8d65-ad105e2e7c58,4JdSXF2p71cr8uCY3UiJM0,Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil ,2023-04-07,188933502
4c3a1fab-14c8-470d-aadf-0531e6062847,7to01JFXJHDtymFbhJ5Lvd,Blank Space,Blank Space,2014-01-01,1355959075
bae5c365-dc33-4517-9683-3e0b3a886a8a,4UY9CCwEvBplRAM2p6gSGk,Style,Style,2014-01-01,786181836
d15f56ab-851e-41c1-860a-2c674c176ee5,6rsoBvxrlxdmqJyGPPciyq,TQM,TQM,2023-05-19,176553476
8f495de0-7733-4287-8daf-cd66a2131e50,3dlE1QVhw2NgAobAqR1avF,El Azul,El Azul,2023-02-10,354495408
4f7be98f-4762-489e-87cc-049359cbcadb,5WnSVTtFe5YmbunJwbeYLA,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower - Spider-Man: Into the Spider-Verse,2018-10-09,2808096550
abbea96d-333f-49e0-9709-71db071c4a11,2HCdD9vMJ2hQIhhXlzW3EP,I'm Good (Blue),I'm Good ,2022-08-26,1109433169
c86b908b-4222-4be0-9e2f-702ea1a428a9,6TZYGQ2djryNbg98vV5Prg,See You Again,See You Again,2017-07-21,1047101291
ef5c8eb7-9f0d-4600-8a41-e6781bad5e9d,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Barbie World ,2023-06-23,65156199
b44d9ad5-b6ad-47aa-87e8-95ba391d018c,6CSBS0Za8iqFfnyMByUMHI,Angels Like You,Angels Like You,2020-11-27,570515054
09d01746-8030-4dc3-8cf8-85d429be65de,4J9SI7do4KOEsCexqEbjmR,I Ain't Worried,I Ain't Worried,2022-05-13,1085685420
f17f6f4c-49af-4bb4-afb6-de35993082d6,3X3bpUzxIuoW2MemqudZ5n,Die For You,Die For You,2016-11-24,1647990401
a31336e7-92df-4ffe-ac62-9d6ea8c75884,7mxw0i1Vl9SKXuFpyKpgre,Starboy,Starboy,2016-09-21,2565529693
3597ef33-bd2a-4e84-a25e-de5affbe3293,26hOm7dTtBi0TdpDGl141t,Die For You - Remix,Die For You - Remix,2023-02-24,518745108
63288a9c-22f6-44a4-a3f3-a8665489e760,61W8e4LDXN5yUQjnjj6MRh,El Cielo,El Cielo,2023-06-02,107753850
