track_uuid,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3a66b800-c182-4880-a882-b05bcc284a7f,125,B,Major,80,89,83,31,0,8,4
7af0f4a4-9fa3-4364-9c5c-95808b08e289,92,C#,Major,71,61,74,7,0,10,4
2abb325d-0d85-4835-92ea-b4371820cbaa,138,F,Major,51,32,53,17,0,31,6
ca3c5bd0-4333-4e88-9505-dcf9604fb0ee,170,A,Major,55,58,72,11,0,11,15
e25366c8-d8f3-40e2-8c46-b6001eaf9bca,144,A,Minor,65,23,80,14,63,11,6
b401abaa-ac75-4b65-8fa9-51bd698eb3c6,141,C#,Major,92,66,58,19,0,8,24
1334c779-1443-4007-b0b0-abb20b04a1f5,148,F,Minor,67,83,76,48,0,8,3
9d8628b2-3664-430a-aad5-f0040647dfe9,100,F,Major,67,26,71,37,0,11,4
9c4a1291-6c51-4ffe-b81f-75e13e143cda,130,C#,Minor,85,22,62,12,0,28,9
f2cc1b2b-aa71-4181-9b34-0274d3023827,170,D,Minor,81,56,48,21,0,8,33
9b294a23-79c8-4061-a2df-0e060935abd8,83,F#,Minor,57,56,72,23,0,27,5
94a80e8d-3b6f-4d5e-b8ad-3a49180902db,150,F,Minor,78,52,82,18,0,15,7
24fff581-ec4e-4a6d-a611-69501f484d8b,118,,Major,71,65,68,6,0,3,7
570e8911-1f60-431e-bed4-3e942eab273e,130,D,Minor,51,32,43,83,0,9,3
dda32d03-7387-4cd2-9ea1-1dfccc395574,174,F#,Minor,52,66,73,34,0,31,6
961b7999-8ae6-4b23-9375-aa969d9f2705,89,G#,Major,64,43,73,5,17,16,4
c0a2b613-15b9-46f1-8a95-81d4251276f2,120,B,Minor,78,76,59,43,0,34,3
26cbb21d-11bf-4a3e-adc8-8c6c626e5398,78,,Major,44,14,9,96,0,10,3
3ed831bf-9645-474c-bb00-832f4e6f7e95,100,B,Major,86,67,66,14,0,12,16
583b8e99-c8e8-4d4c-a008-bdebf93708aa,120,G,Major,63,36,73,0,0,36,4
c1eb4289-4ded-4fac-bd49-d814c3b2e81b,140,F,Minor,65,87,74,22,0,42,4
9d938d38-ac0f-41f9-9910-aeabb6851787,123,F#,Major,69,82,76,6,0,6,3
e4bdfd01-fc31-47dc-9c5c-5a00e55e49c0,135,,Minor,48,44,42,12,2,11,3
e715d2bf-f34d-4b49-a556-ca4b41054b3b,133,F,Minor,85,81,67,26,0,12,5
439ecb4c-c6c8-4882-95f7-96be3c0875db,99,C#,Major,85,83,68,7,0,36,20
5d16c119-4b7c-4a09-8060-a2231747cf83,130,G,Minor,79,96,86,9,0,9,9
7d1cec7e-074c-49f7-b186-fcc397ed3676,107,B,Major,80,82,80,43,0,14,4
ec17acdf-7db2-4eca-a9cb-4fdb850e493b,122,F#,Minor,81,74,71,14,0,56,4
1a4112a2-852c-4aa7-acca-56a9e24a1a4d,204,F#,Major,52,52,68,46,0,15,4
be12a23c-d6d2-40a5-b9bf-4846bdc851dd,110,B,Minor,67,78,85,2,0,33,5
499e1b2a-c0c8-4187-a752-bfb7d4e4e1a4,126,F,Minor,74,35,84,0,0,11,6
6f3f0bea-c140-467c-a66e-c00e17030f21,168,F#,Major,56,63,87,39,0,11,5
335f5acc-d971-473f-89f1-d2d2e7cb9a2d,98,C#,Minor,71,17,61,36,0,8,5
591a1180-f61a-4d5f-a432-461c4db08906,97,E,Major,64,51,63,12,0,19,5
4487b59a-5278-4085-af2d-4b559b600647,180,E,Minor,72,61,63,67,0,9,28
42b81614-6385-4aeb-ad8e-b1ec81c52268,120,,Major,81,63,68,11,0,11,4
101923d3-b819-47e2-8d65-ad105e2e7c58,150,F#,Major,61,39,73,37,0,11,3
4c3a1fab-14c8-470d-aadf-0531e6062847,96,F,Major,75,57,68,9,0,13,6
bae5c365-dc33-4517-9683-3e0b3a886a8a,95,D,Major,60,48,79,0,0,12,4
d15f56ab-851e-41c1-860a-2c674c176ee5,125,F,Minor,79,96,85,27,0,11,6
8f495de0-7733-4287-8daf-cd66a2131e50,144,A,Minor,56,84,65,23,0,10,6
4f7be98f-4762-489e-87cc-049359cbcadb,90,D,Major,76,91,50,54,0,7,5
abbea96d-333f-49e0-9709-71db071c4a11,128,G,Minor,56,38,97,4,0,35,4
c86b908b-4222-4be0-9e2f-702ea1a428a9,79,F#,Major,56,58,56,37,0,11,10
ef5c8eb7-9f0d-4600-8a41-e6781bad5e9d,144,,Major,77,75,58,52,0,23,25
b44d9ad5-b6ad-47aa-87e8-95ba391d018c,122,F,Major,67,49,64,10,0,10,3
09d01746-8030-4dc3-8cf8-85d429be65de,140,,Major,71,82,81,11,0,6,5
f17f6f4c-49af-4bb4-afb6-de35993082d6,134,C#,Minor,59,51,52,9,0,15,7
a31336e7-92df-4ffe-ac62-9d6ea8c75884,186,G,Major,68,49,59,16,0,13,28
3597ef33-bd2a-4e84-a25e-de5affbe3293,67,C#,Minor,53,50,53,23,0,44,7
63288a9c-22f6-44a4-a3f3-a8665489e760,106,A#,Minor,72,17,64,7,0,10,5
fa284d96-7b4d-42e9-91b5-7aca4729cc01,128,G,Major,60,23,91,0,0,12,3
a8445eea-4177-46fc-be45-7ebe022a69e2,107,F#,Minor,92,55,70,18,0,15,7
5d0e4e54-d6d1-4b8f-9362-7a016c08621a,130,G,Minor,67,96,88,12,19,8,4
c98b4f83-fb04-4e42-951a-9c6722fbfcfb,123,E,Minor,45,13,54,70,0,9,4
360ade7b-93c3-4aa4-8115-0cf2410745da,171,C#,Major,50,38,80,0,0,9,7
334c7737-6a9f-4929-a2d5-3b5b5cf576df,137,G,Minor,64,88,72,51,0,17,5
85b0fc62-039b-4da9-840c-3780cd8e06ad,125,G,Minor,84,85,68,58,0,22,4
8f5e69c8-6c85-445f-bd54-03ded7f5cd2a,128,,Minor,86,42,72,59,0,9,19
9dfb72d4-b0c4-4d2a-a383-9215492e6656,130,,Minor,61,53,58,55,0,27,4
b5e191f1-6975-4c43-9f11-deaf34777bdf,130,B,Major,86,59,96,50,1,9,5
49add9c3-67db-4ed5-997e-78371cdb8802,133,F,Major,70,86,81,25,0,25,5
9d170af6-0e5a-45ce-9156-42f2627ecc0a,101,D,Major,88,72,59,62,0,9,3
1818096b-a67b-4f17-b6b0-966657e6952b,95,F,Minor,77,53,64,74,0,17,14
15dcbb1c-3164-4e52-9706-92820b624505,98,C#,Minor,90,40,59,0,0,10,29
f285dedc-1fd3-44d6-9753-d1d5e87680ed,173,B,Major,43,28,66,0,0,23,3
50a493b2-d00d-4c0d-b87b-41d51919f6ec,90,G#,Major,64,10,62,7,0,48,7
7883504d-fb1a-4789-b6ce-2c12fa3dda32,198,A#,Minor,59,71,42,55,0,10,7
9a8f1883-72f8-41b2-8b89-1bade5f9d78a,140,C#,Major,56,48,73,0,0,35,4
47778112-2ac3-4d3e-ab12-5050de8b838e,82,G#,Major,51,22,53,1,0,15,3
c3ac59a4-f4a9-46a9-8d21-0a86c586c316,130,C#,Minor,77,84,89,17,0,43,5
5f4e82a2-8f91-46a8-a5e3-6fd5142d34a7,81,B,Major,76,53,53,44,0,9,9
658d188e-8c1d-4e49-9b8c-cd64c97bd3a7,94,C#,Minor,51,14,59,65,18,25,3
0eecdff6-a687-4f0f-9d26-43dce8765f1d,124,A#,Major,61,41,81,5,2,10,3
730545ac-3080-4c39-a842-c51bf62ac674,128,D,Major,62,55,78,1,3,23,4
