track_id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,api_track_name,api_artist(s),track_jaccards,artist_jaccards,api_confidence
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1.0,1.0,1.0
5u5rY87oaj6Tk8DL4HxQqy,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,LALA,Myke Towers,1.0,1.0,1.0
5VJETUjJ7y46bAz4min5IB,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire,Olivia Rodrigo,1.0,1.0,1.0
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Cruel Summer,Taylor Swift,1.0,1.0,1.0
2FDTHlrBguDzQkp7PVj16Q,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,Sprinter,"Dave, Central Cee",1.0,1.0,1.0
3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,Ella Baila Sola,"Eslabon Armado, Peso Pluma",1.0,1.0,1.0
6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,Columbia,Quevedo,1.0,1.0,1.0
1zVNuQJdyLacbjlV9j58kk,fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,fukumean (instrumental),Gunna,0.5,1.0,0.5
2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,La Bebe - Remix,"Yng Lvcas, Peso Pluma",1.0,1.0,1.0
6pD0ufEQq0xdHSsRbg9LBK,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,un x100to,"Grupo Frontera, Bad Bunny",1.0,1.0,1.0
