spotify_id,name,artists,popularity
3rUGC1vUpkDG9CZFHMur1t,greedy,{'45dkTj5sMRSjrmBSBeiHym': 'Tate McRae'},100
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),"{'3TVXtAsR1Inumwj472S9r4': 'Drake', '6l3HvQ5sa6mXTsMTB19rO5': 'J. Cole'}",91
7dJYggqjKo71KI9sLzqCs8,Agora Hills,{'5cj0lLjcoR7YOSnhnX0Po5': 'Doja Cat'},93
4MjDJD8cW7iVeWInc2Bdyj,MONACO,{'4q3ewBCX7sLwd24euuV69X': 'Bad Bunny'},97
5aIVCx5tnk0ntmdiinnYvw,Water,{'3SozjO3Lat463tQICI9LcE': 'Tyla'},95
5mjYQaktjmjcMKcUIcqz4s,Strangers,{'7uMDnSZyUYNBPLhPMNuaM2': 'Kenya Grace'},97
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,{'06HL4z0CvFAxyc27GXpf02': 'Taylor Swift'},99
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"{'6HaGTQPmzraVmaVxvz6EUc': 'Jung Kook', '2LIk90788K0zvyj2JJVwkJ': 'Jack Harlow'}",91
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,{'5cj0lLjcoR7YOSnhnX0Po5': 'Doja Cat'},95
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"{'1Xyo4u8uXC1ZmMpatF05PJ': 'The Weeknd', '699OTQXzgjhIYAHMy9RyPD': 'Playboi Carti', '6tbjWDEIzxoDsBA1FuhfPW': 'Madonna'}",91
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,{'7tYKF4w9nC0nq9CsPZTHyP': 'SZA'},92
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"{'40ZNYROS4zLfyyBSs2PGe2': 'Zach Bryan', '70kkdajctXSbqSMJbQO424': 'Kacey Musgraves'}",93
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,{'2uYWxilOVlUdk4oV9DvwqK': 'Mitski'},98
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,{'1McMsnEElThX1knmY4oliG': 'Olivia Rodrigo'},90
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,{'6M2wZ9GZgrQXHCFfjv46we': 'Dua Lipa'},93
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",{'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'},94
2HafqoJbgXdtjwCOvNEF14,Si No Estás,{'0jbo7KFNMiIkfBR6ih0yhm': 'iñigo quintero'},98
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"{'6HaGTQPmzraVmaVxvz6EUc': 'Jung Kook', '3MdXrJWsbVzdn6fe5JYkSQ': 'Latto'}",93
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"{'46pWGuE3dSwY3bMMXGBvVS': 'Rema', '0C8ZW7ezQVs4URX5aX7Kqx': 'Selena Gomez'}",90
4rXLjWdF2ZZpXCVTfWcshS,fukumean,{'2hlmm7s2ICUX0LVIhVFlZQ': 'Gunna'},93
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'},91
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,{'6HvZYsbFfjnjFrWF950C9d': 'NewJeans'},90
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],"{'0hCNtLu0JehylgoiP8L4Gh': 'Nicki Minaj', '3LZZPxNDGDFVSIPqf4JuEf': 'Ice Spice', '6kBjAFKyd0he7LiA5GQ3Gz': 'Aqua'}",88
5w40ZYhbBMAlHYNDaVJIUu,Chemical,{'246dkjvS1zLTtiykXe5h60': 'Post Malone'},87
0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,{'5YGY8feqx7naU7z4HrwZM6': 'Miley Cyrus'},78
5Eh1nj7IjV9lwpcKAkidyY,One Of Your Girls,{'3WGpXCj9YhhfX11TToZcXP': 'Troye Sivan'},87
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,{'7tYKF4w9nC0nq9CsPZTHyP': 'SZA'},91
1odExI7RdWc4BT515LTAwj,Daylight,{'33NVpKoXjItPwUJTMZIOiY': 'David Kushner'},94
7ABLbnD53cQK00mhcaOUVG,LALA,{'7iK8PXO48WeuP03g8YR51W': 'Myke Towers'},95
59NraMJsLaMCVtwXTSia8i,Prada,"{'5wCmhq5J2hPwL2r0eKurxn': 'cassö', '5KKpBU5eC2tJDzf0wmlRp2': 'RAYE', '5VadK1havLhK1OpKYsXv9y': 'D-Block Europe'}",94
6iF4RgIjDvDqyW13PezSj3,Single Soon,{'0C8ZW7ezQVs4URX5aX7Kqx': 'Selena Gomez'},86
4Dvkj6JhhA12EX05fT7y2e,As It Was,{'6KImCVD70vtIoJWnq6nGn3': 'Harry Styles'},94
6fNCrsrdIcgVd2aZZ0nnz4,Según Quién,"{'1r4hJ1h58CWwUQe3MxPuau': 'Maluma', '66ihevNkSYNzRAl44dx6jJ': 'Carin Leon'}",88
2i2gDpKKWjvnRTOZRhaPh2,Moonlight,{'1U1el3k54VvEUzo3ybLPlM': 'Kali Uchis'},87
1kuGVB7EU95pJObxwvfwKS,vampire,{'1McMsnEElThX1knmY4oliG': 'Olivia Rodrigo'},94
7DSAEUvxU8FajXtRloy8M0,Flowers,{'5YGY8feqx7naU7z4HrwZM6': 'Miley Cyrus'},92
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),"{'0iEtIxbK0KxaSlF7G42ZOp': 'Metro Boomin', '1Xyo4u8uXC1ZmMpatF05PJ': 'The Weeknd', '1URnnhqYAYcrqrcwql10ft': '21 Savage'}",91
6dgUya35uo964z7GZXM07g,Nonsense,{'74KM79TiuVKeVCqs8QtB0B': 'Sabrina Carpenter'},90
7KokYm8cMIXCsGVmUvKtqf,Karma,{'06HL4z0CvFAxyc27GXpf02': 'Taylor Swift'},88
23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,{'2mLA48B366zkELXYx7hcDN': 'Peggy Gou'},89
6gcuJpHu0Ey30D5WR76y98,You & Me,{'250b0Wlc5Vk0CoUsaCY84M': 'JENNIE'},82
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,"{'78rUTD7y6Cy67W1RVzYs7t': 'PinkPantheress', '3LZZPxNDGDFVSIPqf4JuEf': 'Ice Spice'}",86
73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),{'4E2rKHVDssGJm2SCDOMMJB': 'Doechii'},86
739WUU1tPFLO4x4HJq561K,Cupid - Twin Ver.,{'4GJ6xDCF5jaUqD6avOuQT6': 'FIFTY FIFTY'},84
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,{'00FQb4jTyendYWaN8pK0wa': 'Lana Del Rey'},89
0mflMxspEfB0VbI1kyLiAv,Stick Season,{'2RQXRUsr4IW1f3mKyKsy4B': 'Noah Kahan'},92
59uQI0PADDKeE6UZDTJEe8,Last Night,{'4oUHIQIBe0LHzYfvXNW4QM': 'Morgan Wallen'},85
3XB5uhhlYSnkxpSihkNQwh,QLONA,"{'790FomKkXshlbRYZFtlgla': 'KAROL G', '12GqGscKJx3aE4t07u7eVZ': 'Peso Pluma'}",88
2FDTHlrBguDzQkp7PVj16Q,Sprinter,"{'6Ip8FS7vWT1uKkJSweANQK': 'Dave', '5H4yInM5zmHqpKIoMNAx4r': 'Central Cee'}",91
210JJAa9nJOgNa0YNrsT5g,GODS,"{'47mIJdHORyRerp4os813jD': 'League of Legends', '6HvZYsbFfjnjFrWF950C9d': 'NewJeans'}",87
1X1dy95bo2OirAmMkBIwkS,NFL,{'4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert'},69
2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),"{'4DdkRBBYG6Yk9Ka8tdJ9BW': 'Offset', '0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'}",84
4367dXCt02KMgELPisJ2D4,HVN ON EARTH (with Kodak Black),"{'4Ga1P7PMIsmqEZqhYZQgDo': 'Lil Tecca', '46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}",79
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),"{'3TVXtAsR1Inumwj472S9r4': 'Drake', '3qiHUAX7zY4Qnjx8TNUzVx': 'Yeat'}",93
6N7TGPYfGP2oxiy9Cpaz9G,Presha (with Lil Wayne),"{'17lzZA2AlOHwCwFALHttmp': '2 Chainz', '55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}",75
7AtQxohgEu5dRYdcY4gB6G,First Day Out (Freestyle),{'4W7fxKwDR9luCrOryB3GVK': 'Rundown Spaz'},62
