spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability_encoded,energy_encoded,speechiness_encoded,acousticness_encoded,liveness_encoded,valence_encoded,tempo_encoded,duration_ms_encoded,loudness_encoded,instrumentalness_encoded,mode_encoded,key_encoded,time_signature_encoded
00Apys6jYrWA0Bse9Yon6O,0.632,0.832,11.0,-3.542,0.0,0.0465,0.247,0.0,0.349,0.289,110.025,175636.0,4.0,medium,high,medium,medium,high,low,low,medium,low,low,Minor,B,4.0
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1.0,-4.806,1.0,0.053,0.0361,0.0,0.0755,0.688,97.014,193507.0,4.0,medium,high,medium,low,low,high,low,medium,low,low,Major,C#,4.0
00bc7aBgwI1wD3zEwrcH4h,0.849,0.639,8.0,-4.645,1.0,0.042,0.55,0.0,0.0647,0.918,106.547,159531.0,4.0,high,medium,low,high,low,high,low,low,low,low,Major,G#,4.0
00uvWPbNBali6gKlZxUxIU,0.653,0.518,11.0,-8.835,1.0,0.0753,0.965,0.784,0.151,0.821,153.719,166520.0,4.0,medium,low,medium,high,medium,high,high,low,low,high,Major,B,4.0
00zk0uua6s2ifh0Nc3ppfW,0.774,0.577,2.0,-12.132,1.0,0.107,0.037,0.627,0.122,0.148,100.003,211253.0,4.0,high,medium,high,low,medium,low,low,medium,low,high,Major,D,4.0
01K4zKU104LyJ8gMb7227B,0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,258813.0,4.0,medium,low,low,high,medium,medium,low,high,low,low,Major,C,4.0
01YROQCnF1AQm7SCWJmD2o,0.569,0.508,7.0,-12.823,1.0,0.0502,0.768,0.0,0.145,0.647,167.624,196560.0,4.0,medium,low,medium,high,medium,high,high,medium,low,low,Major,G,4.0
01cN1DKc5HH7F9MOBBjSip,0.497,0.696,9.0,-4.774,1.0,0.0404,0.121,0.0,0.11,0.569,82.947,172485.0,4.0,low,medium,low,medium,medium,medium,low,low,low,low,Major,A,4.0
01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8.0,-6.06,1.0,0.0356,0.235,0.849,0.114,0.338,119.918,169245.0,4.0,medium,medium,low,medium,medium,low,medium,low,low,high,Major,G#,4.0
01tNpXoTjrqvb1zhG6wmop,0.481,0.686,1.0,-7.223,0.0,0.171,0.172,0.0,0.0851,0.174,161.687,196620.0,4.0,low,medium,high,medium,low,low,high,medium,low,low,Minor,C#,4.0
02G0mbFgtqS3h1Ek29tBWW,0.597,0.472,2.0,-8.915,1.0,0.414,0.00236,0.0,0.141,0.164,161.122,178965.0,4.0,medium,low,high,low,medium,low,high,medium,low,low,Major,D,4.0
02K2VtGdUG5fUlAQATEgE6,0.493,0.737,10.0,-4.757,0.0,0.496,0.194,0.0,0.254,0.482,173.579,219617.0,4.0,low,medium,high,medium,high,medium,high,high,low,low,Minor,A#,4.0
02WbmXcfVEPDOZH91K8OtL,0.812,0.517,1.0,-8.524,1.0,0.0983,0.0708,0.0,0.104,0.17,130.041,147691.0,4.0,high,low,high,low,low,low,medium,low,low,low,Major,C#,4.0
02jLfqc9gMo8PkHEGHY3OT,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
