spotify_id,name,artists,popularity,release_date,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
00Apys6jYrWA0Bse9Yon6O,Crush,"{'26cMerAxjx9GedFt0lMDjm': 'Bella Poarch', '5JZ7CnR6gTvEMKX4g70Amv': 'Lauv'}",70,2023-09-15,,0.632,0.832,11.0,-3.542,0.0,0.0465,0.247,0.0,0.349,0.289,110.025,175636.0,4.0
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"{'246dkjvS1zLTtiykXe5h60': 'Post Malone', '1Xyo4u8uXC1ZmMpatF05PJ': 'The Weeknd'}",76,2021-11-05,539595276,0.687,0.781,1.0,-4.806,1.0,0.053,0.0361,0.0,0.0755,0.688,97.014,193507.0,4.0
00bc7aBgwI1wD3zEwrcH4h,No Quiero Perderte,"{'0mA4dkNGiN4fqTBi2SLlAv': 'Edgardo Nuñez', '4A4qYy2jK9DDN1OHV0nLkH': 'Código FN'}",72,2023-05-11,,0.849,0.639,8.0,-4.645,1.0,0.042,0.55,0.0,0.0647,0.918,106.547,159531.0,4.0
00uvWPbNBali6gKlZxUxIU,Are You Looking Up,"{'7tr9pbgNEKtG0GQTKe08Tz': 'Mk.gee', '3QCMLWLjJyGA8cQCPrusdv': 'Two star'}",52,2023-10-20,,0.653,0.518,11.0,-8.835,1.0,0.0753,0.965,0.784,0.151,0.821,153.719,166520.0,4.0
00zk0uua6s2ifh0Nc3ppfW,Nun id change,{'3qiHUAX7zY4Qnjx8TNUzVx': 'Yeat'},80,2023-02-24,,0.774,0.577,2.0,-12.132,1.0,0.107,0.037,0.627,0.122,0.148,100.003,211253.0,4.0
01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"{'06HL4z0CvFAxyc27GXpf02': 'Taylor Swift', '1r1uxoy19fzMxunt3ONAkG': 'Phoebe Bridgers'}",78,2021-11-12,,0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,258813.0,4.0
01YROQCnF1AQm7SCWJmD2o,This Is Halloween,{'164hs3x1Tsp3FgJWNHee1r': 'The Citizens of Halloween'},75,2006-01-01,,0.569,0.508,7.0,-12.823,1.0,0.0502,0.768,0.0,0.145,0.647,167.624,196560.0,4.0
01cN1DKc5HH7F9MOBBjSip,AMOR PROPIO,{'6XkjpgcEsYab502Vr1bBeW': 'Grupo Frontera'},80,2023-10-19,,0.497,0.696,9.0,-4.774,1.0,0.0404,0.121,0.0,0.11,0.569,82.947,172485.0,4.0
01kfSdF9zfcDLri5sSWEoL,RAVE,{'5TvFfw1MgSntdU9A7yncyA': 'Dxrk ダーク'},81,2022-03-18,,0.716,0.748,8.0,-6.06,1.0,0.0356,0.235,0.849,0.114,0.338,119.918,169245.0,4.0
01tNpXoTjrqvb1zhG6wmop,You Never Know,"{'1YWJ1WjMkBCB1X3QOJ1Wdn': 'Cast of High School Musical: The Musical: The Series', '3xvaSlT4xsyk6lY1ESOspO': 'Disney'}",54,2022-08-03,,0.481,0.686,1.0,-7.223,0.0,0.171,0.172,0.0,0.0851,0.174,161.687,196620.0,4.0
