topic_id,word,probability
0,bitch,0.18808235
1,girl,0.3589819
2,set,0.05096339
3,love,0.72057444
4,baby,0.18489517
5,damn,0.08421043
6,give,0.031661768
7,make,0.16507524
8,bar,0.1127458
9,away,0.05029674
10,gimme,0.12843272
11,likeembe,0.082890205
12,boy,0.24632521
13,time,0.07026061
14,go,0.25993788
15,round,0.056812186
16,heart,0.1008531
17,dance,0.21088557
18,back,0.20392439
19,rain,0.10364004
0,fuck,0.13847117
1,truck,0.04871979
2,voy,0.044928584
3,crazy,0.0428701
4,light,0.0685848
5,murder,0.080966026
6,make,0.02598642
7,walk,0.059888087
8,different,0.09430085
9,run,0.049903773
10,bone,0.060423993
11,quiere,0.06569306
12,think,0.04276794
13,feel,0.03692739
14,shake,0.11683847
15,hood,0.05374878
16,night,0.06260045
17,shoot,0.10015676
18,real,0.1291962
19,game,0.09688437
0,nigga,0.082962245
1,song,0.047604322
2,ver,0.038068675
3,waste,0.015133406
4,feel,0.06210576
5,woman,0.072117075
6,high,0.018295802
7,find,0.054077245
8,truth,0.072433814
9,day,0.048926163
10,magic,0.03957905
11,hacer,0.03917036
12,fat,0.040586773
13,home,0.024531135
14,mean,0.05975489
15,ring,0.037019093
16,hard,0.044764817
17,hand,0.08414302
18,wit,0.08413725
19,dime,0.044733822
0,hit,0.0479611
1,sing,0.040226396
2,midnight,0.034052644
3,aqu,0.009209087
4,fly,0.042774018
5,crime,0.050604135
6,shit,0.018138694
7,fall,0.04759498
8,bottle,0.05638886
9,hold,0.040875632
10,alive,0.0388467
11,pare,0.030877903
12,picture,0.037134483
13,lose,0.024293218
14,lookin,0.028977577
15,boyfriend,0.0328892
16,wish,0.04083503
17,chance,0.061875593
18,lady,0.03001335
19,storm,0.03591628
0,big,0.03663019
1,pretty,0.034242835
2,mejor,0.030500682
3,heart,0.0063109095
4,tonight,0.035468988
5,carry,0.041643072
6,call,0.01568148
7,body,0.04232386
8,car,0.0484446
9,stay,0.037313696
10,miracle,0.03678425
11,dale,0.030095011
12,fun,0.032331336
13,leave,0.023247508
14,perfect,0.027637439
15,gun,0.027564125
16,thing,0.040055763
17,clear,0.048748743
18,step,0.024747187
19,super,0.031464454
0,hoe,0.033379074
1,guy,0.033032164
2,flow,0.028551934
3,touch,0.0032079855
4,comin,0.0226195
5,cool,0.03941828
6,get,0.015354133
7,pop,0.039229456
8,kick,0.03902988
9,leave,0.031668205
10,control,0.036015846
11,solo,0.028990353
12,ghost,0.030671641
13,long,0.02320782
14,beautiful,0.024100248
15,root,0.024449874
16,remember,0.034531817
17,tre,0.02588543
18,fresh,0.023550877
19,weekend,0.026969604
0,pussy,0.027172642
1,funny,0.025783107
2,aunque,0.021344855
3,change,0.0029379542
4,glock,0.018224439
5,fault,0.03302776
6,back,0.015006738
7,jump,0.03598433
8,wrap,0.026124109
9,eye,0.026439989
10,ahead,0.031656258
11,copa,0.023199094
12,breath,0.026389178
13,low,0.019623721
14,hot,0.017543163
15,thick,0.023534132
16,break,0.028828068
17,move,0.021448953
18,sit,0.021086035
19,warm,0.025027845
0,niggas,0.025434772
1,side,0.02558706
2,extra,0.020699317
3,bleed,0.0017961089
4,burn,0.016996896
5,clothe,0.022711461
6,talk,0.01423428
7,wild,0.033981435
8,ready,0.025773719
9,wake,0.024499688
10,stone,0.02327836
11,beso,0.015326667
12,beb,0.024592554
13,mind,0.019160407
14,mile,0.015745547
15,daddy,0.023217672
16,watch,0.027313445
17,cheek,0.01572124
18,attention,0.013977969
19,hole,0.022913242
0,send,0.021833135
1,bedroom,0.016312417
2,siempre,0.019717587
3,tomando,0.0017191106
4,sneak,0.016398093
5,someday,0.022429295
6,turn,0.014169162
7,lil,0.027055476
8,year,0.023917235
9,close,0.022839114
10,tower,0.02022063
11,noche,0.014301339
12,case,0.020621907
13,ticket,0.018503487
14,air,0.014696623
15,trip,0.020347396
16,world,0.025984189
17,vida,0.01144801
18,jeweler,0.0119897155
19,insane,0.022308875
0,real,0.02133888
1,block,0.015449077
2,daylight,0.019122671
3,embed,0.0013801228
4,foot,0.0153842885
5,puede,0.021453775
6,put,0.013985376
7,summer,0.026156675
8,drunk,0.017517947
9,hear,0.021013275
10,honey,0.016462684
11,ropa,0.012054917
12,eat,0.019524265
13,drive,0.016317738
14,fake,0.014497882
15,pocket,0.020321164
16,bring,0.025828278
17,beat,0.010775209
18,rebel,0.009546761
19,force,0.021725876
0,bout,0.020590352
1,view,0.013326076
2,darkness,0.01802674
3,quisiera,0.0013417178
4,close,0.014364864
5,text,0.019355698
6,stop,0.013483114
7,water,0.02013199
8,feeling,0.016249465
9,bed,0.019162444
10,bear,0.015207439
11,beber,0.012047535
12,settle,0.015441737
13,know,0.0147834085
14,play,0.014443337
15,problem,0.01966644
16,hell,0.025463466
17,head,0.008493499
18,pie,0.00948039
19,stick,0.021144884
0,rich,0.016871369
1,player,0.010844446
2,lay,0.017914517
3,visto,0.0010762772
4,fall,0.014024254
5,passion,0.015866231
6,break,0.0132483225
7,place,0.019816026
8,cruise,0.015042294
9,young,0.018804133
10,pickin,0.013443743
11,nadie,0.01160478
12,cabr,0.013401916
13,wait,0.013220264
14,break,0.012374887
15,gyal,0.015736787
16,star,0.022263328
17,tide,0.008169257
18,shady,0.009410673
19,pain,0.012730552
0,lot,0.013215979
1,beauty,0.009436783
2,cuerpo,0.017117219
3,sleeping,0.0009913458
4,rise,0.012979543
5,holdin,0.015704453
6,friend,0.012537207
7,tree,0.017104853
8,comb,0.014737796
9,cry,0.01575405
10,habit,0.011135499
11,clase,0.008623669
12,dive,0.012829707
13,eye,0.012625632
14,hang,0.012149882
15,cheap,0.014355015
16,sweet,0.020252582
17,thing,0.0046456065
18,bent,0.008099567
19,stuck,0.011745856
0,wood,0.01276279
1,world,0.0094113825
2,embe,0.015795307
3,arm,0.000846701
4,promise,0.012090446
5,kill,0.014344371
6,somethin,0.012390482
7,roll,0.016447078
8,speed,0.014574631
9,wrong,0.015747704
10,soul,0.009567811
11,shock,0.0078391805
12,baile,0.012401512
13,rock,0.011839244
14,laugh,0.0115368115
15,tap,0.014123938
16,back,0.020079542
17,flore,0.0046062064
18,fotos,0.005072663
19,cherry,0.011063439
0,bag,0.012228793
1,kiss,0.009222963
2,muerte,0.014707397
3,quedar,0.0005325413
4,record,0.01208802
5,burnin,0.013733114
6,ride,0.012212705
7,thinkin,0.01311496
8,store,0.014354403
9,live,0.015679553
10,noise,0.0094836885
11,cualquier,0.0071273204
12,beach,0.012162624
13,forever,0.01180527
14,movin,0.0102530755
15,head,0.013680982
16,memory,0.019833934
17,repeat,0.0034709482
18,parent,0.0050014886
19,adore,0.0107998
