,sid,word,occurrence
0,7ABLbnD53cQK00mhcaOUVG,paro,2
1,7ABLbnD53cQK00mhcaOUVG,subo,2
2,7ABLbnD53cQK00mhcaOUVG,altura,2
3,7ABLbnD53cQK00mhcaOUVG,dime,2
4,7ABLbnD53cQK00mhcaOUVG,nunca,2
5,7ABLbnD53cQK00mhcaOUVG,full,1
6,7ABLbnD53cQK00mhcaOUVG,beb,1
7,7ABLbnD53cQK00mhcaOUVG,apaga,1
8,7ABLbnD53cQK00mhcaOUVG,llamando,1
9,7ABLbnD53cQK00mhcaOUVG,haga,1
10,7ABLbnD53cQK00mhcaOUVG,quiere,1
11,7ABLbnD53cQK00mhcaOUVG,inevitable,1
12,7ABLbnD53cQK00mhcaOUVG,mirando,1
13,7ABLbnD53cQK00mhcaOUVG,cable,1
14,7ABLbnD53cQK00mhcaOUVG,culpable,1
15,1BxfuPKGuaTgP7aM0Bbdwr,summer,9
16,1BxfuPKGuaTgP7aM0Bbdwr,roll,4
17,1BxfuPKGuaTgP7aM0Bbdwr,shape,3
18,1BxfuPKGuaTgP7aM0Bbdwr,breakable,3
19,1BxfuPKGuaTgP7aM0Bbdwr,body,3
20,1BxfuPKGuaTgP7aM0Bbdwr,blue,3
21,1BxfuPKGuaTgP7aM0Bbdwr,night,3
22,1BxfuPKGuaTgP7aM0Bbdwr,feeling,3
23,1BxfuPKGuaTgP7aM0Bbdwr,wait,3
24,1BxfuPKGuaTgP7aM0Bbdwr,rule,3
25,1BxfuPKGuaTgP7aM0Bbdwr,secret,2
26,1BxfuPKGuaTgP7aM0Bbdwr,cut,2
27,1BxfuPKGuaTgP7aM0Bbdwr,low,2
28,1BxfuPKGuaTgP7aM0Bbdwr,home,2
29,1BxfuPKGuaTgP7aM0Bbdwr,comin,2
30,08YvUaUsZktAG6zEMDwUqO,gyal,7
31,08YvUaUsZktAG6zEMDwUqO,fuck,4
32,08YvUaUsZktAG6zEMDwUqO,diamond,3
33,08YvUaUsZktAG6zEMDwUqO,sprinter,3
34,08YvUaUsZktAG6zEMDwUqO,doin,3
35,08YvUaUsZktAG6zEMDwUqO,give,3
36,08YvUaUsZktAG6zEMDwUqO,send,3
37,08YvUaUsZktAG6zEMDwUqO,suv,3
38,08YvUaUsZktAG6zEMDwUqO,squintin,2
39,08YvUaUsZktAG6zEMDwUqO,thick,2
40,08YvUaUsZktAG6zEMDwUqO,change,2
41,08YvUaUsZktAG6zEMDwUqO,mind,2
42,08YvUaUsZktAG6zEMDwUqO,halfway,2
43,08YvUaUsZktAG6zEMDwUqO,put,2
44,08YvUaUsZktAG6zEMDwUqO,meter,2
45,3qQbCzHBycnDpGskqOWY0E,compa,1
46,3qQbCzHBycnDpGskqOWY0E,parece,1
47,3qQbCzHBycnDpGskqOWY0E,morra,1
48,3qQbCzHBycnDpGskqOWY0E,acerco,1
49,3qQbCzHBycnDpGskqOWY0E,trago,1
50,3qQbCzHBycnDpGskqOWY0E,pero,1
51,3qQbCzHBycnDpGskqOWY0E,solo,1
52,3qQbCzHBycnDpGskqOWY0E,dije,1
53,3qQbCzHBycnDpGskqOWY0E,voy,1
54,3qQbCzHBycnDpGskqOWY0E,plebita,1
55,3qQbCzHBycnDpGskqOWY0E,likeembe,1
56,6XbtvPmIpyCbjuT0e8cQtp,besos,4
57,6XbtvPmIpyCbjuT0e8cQtp,beber,2
58,6XbtvPmIpyCbjuT0e8cQtp,nadie,2
59,6XbtvPmIpyCbjuT0e8cQtp,salir,2
60,6XbtvPmIpyCbjuT0e8cQtp,sentimental,1
61,6XbtvPmIpyCbjuT0e8cQtp,quiere,1
62,6XbtvPmIpyCbjuT0e8cQtp,noche,1
63,6XbtvPmIpyCbjuT0e8cQtp,cumplir,1
64,6XbtvPmIpyCbjuT0e8cQtp,hacer,1
65,6XbtvPmIpyCbjuT0e8cQtp,espero,1
66,6XbtvPmIpyCbjuT0e8cQtp,cualquier,1
67,6XbtvPmIpyCbjuT0e8cQtp,reggaet,1
68,6XbtvPmIpyCbjuT0e8cQtp,escuchando,1
69,6XbtvPmIpyCbjuT0e8cQtp,dese,1
70,6XbtvPmIpyCbjuT0e8cQtp,salud,1
71,7DSAEUvxU8FajXtRloy8M0,love,11
72,7DSAEUvxU8FajXtRloy8M0,baby,8
73,7DSAEUvxU8FajXtRloy8M0,buy,3
74,7DSAEUvxU8FajXtRloy8M0,hand,3
75,7DSAEUvxU8FajXtRloy8M0,hold,3
76,7DSAEUvxU8FajXtRloy8M0,dancing,3
77,7DSAEUvxU8FajXtRloy8M0,understand,3
78,7DSAEUvxU8FajXtRloy8M0,hour,3
79,7DSAEUvxU8FajXtRloy8M0,talk,3
80,7DSAEUvxU8FajXtRloy8M0,sand,3
81,7DSAEUvxU8FajXtRloy8M0,write,3
82,7DSAEUvxU8FajXtRloy8M0,thing,3
83,7DSAEUvxU8FajXtRloy8M0,remember,3
84,7DSAEUvxU8FajXtRloy8M0,cry,3
85,7DSAEUvxU8FajXtRloy8M0,start,3
86,1odExI7RdWc4BT515LTAwj,daylight,15
87,1odExI7RdWc4BT515LTAwj,time,10
88,1odExI7RdWc4BT515LTAwj,hate,8
89,1odExI7RdWc4BT515LTAwj,love,6
90,1odExI7RdWc4BT515LTAwj,runnin,6
91,1odExI7RdWc4BT515LTAwj,ooh,3
92,1odExI7RdWc4BT515LTAwj,drink,3
93,1odExI7RdWc4BT515LTAwj,hidin,3
94,1odExI7RdWc4BT515LTAwj,sin,3
95,1odExI7RdWc4BT515LTAwj,resist,2
96,1odExI7RdWc4BT515LTAwj,distance,2
97,1odExI7RdWc4BT515LTAwj,darkness,2
98,1odExI7RdWc4BT515LTAwj,tell,1
99,1odExI7RdWc4BT515LTAwj,mercy,1
100,1odExI7RdWc4BT515LTAwj,find,1
101,3OHfY25tqY28d16oZczHc8,kill,8
102,3OHfY25tqY28d16oZczHc8,love,7
103,3OHfY25tqY28d16oZczHc8,mature,4
104,3OHfY25tqY28d16oZczHc8,drug,4
105,3OHfY25tqY28d16oZczHc8,idea,4
106,3OHfY25tqY28d16oZczHc8,girlfriend,3
107,3OHfY25tqY28d16oZczHc8,hate,2
108,3OHfY25tqY28d16oZczHc8,text,2
109,3OHfY25tqY28d16oZczHc8,evidence,2
110,3OHfY25tqY28d16oZczHc8,sober,2
111,3OHfY25tqY28d16oZczHc8,jail,2
112,3OHfY25tqY28d16oZczHc8,therapist,2
113,3OHfY25tqY28d16oZczHc8,farmer,1
114,3OHfY25tqY28d16oZczHc8,tonight,1
115,3OHfY25tqY28d16oZczHc8,low,1
116,6XSqqQIy7Lm7SnwxS4NrGx,cobrar,4
117,6XSqqQIy7Lm7SnwxS4NrGx,baby,4
118,6XSqqQIy7Lm7SnwxS4NrGx,nasty,4
119,6XSqqQIy7Lm7SnwxS4NrGx,voy,3
120,6XSqqQIy7Lm7SnwxS4NrGx,toc,3
121,6XSqqQIy7Lm7SnwxS4NrGx,problematic,3
122,6XSqqQIy7Lm7SnwxS4NrGx,fantastic,3
123,6XSqqQIy7Lm7SnwxS4NrGx,cuatro,3
124,6XSqqQIy7Lm7SnwxS4NrGx,fuck,3
125,6XSqqQIy7Lm7SnwxS4NrGx,romantic,3
126,6XSqqQIy7Lm7SnwxS4NrGx,normal,3
127,6XSqqQIy7Lm7SnwxS4NrGx,ver,2
128,6XSqqQIy7Lm7SnwxS4NrGx,formal,2
129,6XSqqQIy7Lm7SnwxS4NrGx,freaky,2
130,6XSqqQIy7Lm7SnwxS4NrGx,ndote,2
131,6EY9e6LyPWmL8hUS5E1P0h,forever,4
132,6EY9e6LyPWmL8hUS5E1P0h,lose,4
133,6EY9e6LyPWmL8hUS5E1P0h,light,4
134,6EY9e6LyPWmL8hUS5E1P0h,mind,2
135,6EY9e6LyPWmL8hUS5E1P0h,dream,2
136,6EY9e6LyPWmL8hUS5E1P0h,break,2
137,6EY9e6LyPWmL8hUS5E1P0h,night,2
138,6EY9e6LyPWmL8hUS5E1P0h,ride,2
139,6EY9e6LyPWmL8hUS5E1P0h,taste,2
140,6EY9e6LyPWmL8hUS5E1P0h,high,2
141,6EY9e6LyPWmL8hUS5E1P0h,spin,2
142,6EY9e6LyPWmL8hUS5E1P0h,give,2
143,6EY9e6LyPWmL8hUS5E1P0h,outta,2
144,6EY9e6LyPWmL8hUS5E1P0h,baby,2
145,6EY9e6LyPWmL8hUS5E1P0h,time,1
146,3iOUnnSLLH2TywmyYBZwC8,gaga,2
147,3iOUnnSLLH2TywmyYBZwC8,lente,2
148,3iOUnnSLLH2TywmyYBZwC8,pendiente,1
149,3iOUnnSLLH2TywmyYBZwC8,flow,1
150,3iOUnnSLLH2TywmyYBZwC8,ne,1
151,3iOUnnSLLH2TywmyYBZwC8,beat,1
152,3iOUnnSLLH2TywmyYBZwC8,egipto,1
153,3iOUnnSLLH2TywmyYBZwC8,fre,1
154,3iOUnnSLLH2TywmyYBZwC8,ambiente,1
155,3iOUnnSLLH2TywmyYBZwC8,polvo,1
156,3iOUnnSLLH2TywmyYBZwC8,doble,1
157,3iOUnnSLLH2TywmyYBZwC8,chau,1
158,3iOUnnSLLH2TywmyYBZwC8,cha,1
159,3iOUnnSLLH2TywmyYBZwC8,merce,1
160,3iOUnnSLLH2TywmyYBZwC8,clave,1
161,5XeFesFbtLpXzIVDNQP22n,deep,3
162,5XeFesFbtLpXzIVDNQP22n,hold,3
163,5XeFesFbtLpXzIVDNQP22n,hide,2
164,5XeFesFbtLpXzIVDNQP22n,secret,2
165,5XeFesFbtLpXzIVDNQP22n,heart,2
166,5XeFesFbtLpXzIVDNQP22n,hard,2
167,5XeFesFbtLpXzIVDNQP22n,coffee,2
168,5XeFesFbtLpXzIVDNQP22n,heater,1
169,5XeFesFbtLpXzIVDNQP22n,hair,1
170,5XeFesFbtLpXzIVDNQP22n,wanna,1
171,5XeFesFbtLpXzIVDNQP22n,lotion,1
172,5XeFesFbtLpXzIVDNQP22n,set,1
173,5XeFesFbtLpXzIVDNQP22n,breathin,1
174,5XeFesFbtLpXzIVDNQP22n,portable,1
175,5XeFesFbtLpXzIVDNQP22n,run,1
176,5AqiaZwhmC6dIbgWrD5SzV,voy,2
177,5AqiaZwhmC6dIbgWrD5SzV,doble,2
178,5AqiaZwhmC6dIbgWrD5SzV,fierro,2
179,5AqiaZwhmC6dIbgWrD5SzV,verga,2
180,5AqiaZwhmC6dIbgWrD5SzV,pedo,1
181,5AqiaZwhmC6dIbgWrD5SzV,mentir,1
182,5AqiaZwhmC6dIbgWrD5SzV,olvidar,1
183,5AqiaZwhmC6dIbgWrD5SzV,mente,1
184,5AqiaZwhmC6dIbgWrD5SzV,sacar,1
185,5AqiaZwhmC6dIbgWrD5SzV,ver,1
186,5AqiaZwhmC6dIbgWrD5SzV,ita,1
187,5AqiaZwhmC6dIbgWrD5SzV,embed,1
188,4eMKD8MRroxCqugpsxCCNb,ojal,5
189,4eMKD8MRroxCqugpsxCCNb,pienso,2
190,4eMKD8MRroxCqugpsxCCNb,dormir,2
191,4eMKD8MRroxCqugpsxCCNb,tanning,2
192,4eMKD8MRroxCqugpsxCCNb,mojave,1
193,4eMKD8MRroxCqugpsxCCNb,friendly,1
194,4eMKD8MRroxCqugpsxCCNb,estrella,1
195,4eMKD8MRroxCqugpsxCCNb,frontear,1
196,4eMKD8MRroxCqugpsxCCNb,giannis,1
197,4eMKD8MRroxCqugpsxCCNb,toda,1
198,4eMKD8MRroxCqugpsxCCNb,amigo,1
199,4eMKD8MRroxCqugpsxCCNb,ey,1
200,4eMKD8MRroxCqugpsxCCNb,dando,1
201,4eMKD8MRroxCqugpsxCCNb,ghost,1
202,4eMKD8MRroxCqugpsxCCNb,cabeza,1
203,6Hiz5MDYoGdLBBQ3gGzRam,night,15
