id,name,description,playlist_uuid
37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits ,Drake on top of the Hottest 50!,3505055b-fb63-4484-8a71-1c89ddb70443
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,"Music from Lil Tecca, Lil Uzi Vert and Gucci Mane. ",5e6764db-2b46-42b8-95d1-1b6abad5975a
37i9dQZF1DX1lVhptIYRda,Hot Country,Today's top country hits. Cover: Restless Road,6719925a-8421-462a-b72e-6474161d84c3
37i9dQZF1DX5KpP2LN299J,This Is Taylor Swift,"The essential tracks, all in one playlist.",41063df6-dbbe-4201-a8bb-29c2fe807432
37i9dQZF1DX0kbJZpiYdZl,Hot Hits USA,The hottest tracks in the United States. Cover: Bad Bunny,b8be1ff4-3920-40d0-af2f-73b474e0311c
37i9dQZF1DX10zKzsJ2jva,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: Fuerza Regida ",c7436492-8b43-4be2-af6d-32e725d5c291
37i9dQZF1DX4JAvHpjipBk,New Music Friday,"New music from blink-182, The Kid LAROI, Charli XCX & Sam Smith, Caroline Polachek, Gucci Mane and more! ",06502f67-6aec-41ab-b108-e3515e55f77f
37i9dQZF1DX6GwdWRQMQpq,Feelin' Myself,The hip-hop playlist that's a whole mood. Art By Laci Jordan; Cover: City Girls,ee3e9a7e-21e7-4f69-8e34-35b3220ef9ed
37i9dQZF1DX8S9gwdi7dev,Halloween Party,Fun tracks for your Halloween festivities!,0961aeab-e5bb-4e0e-ba1b-0fc7118a0f93
37i9dQZF1DX8C9xQcOrE6T,Disney Hits,"All your favorite Disney hits, including songs from Wish.",960c6dd5-2d7b-4ae8-a3ed-601345f0199c
37i9dQZF1DX5Vy6DFOcx00,big on the internet,iykyk,e8b4fc58-bf45-4443-96b5-bbafc80f1a91
37i9dQZF1DWY4xHQp97fN6,Get Turnt,Mood: Turnt,5b7e8c16-e807-4644-82d7-a79903021c73
37i9dQZF1DWZd79rJ6a7lp,Sleep,Gentle Ambient piano to help you fall asleep. ,882f260d-ce5e-46d9-921f-209b6610dcd3
37i9dQZF1DX905zIRtblN3,La Reina: Éxitos de la Música Mexicana,¡Las más placosas y llegadoras de nuestra música! Al millón con Gabito Ballesteros & Natanael Cano.,3f5bdbbc-a052-454c-b296-1b5edc43cf49
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,"Who's now and next in pop. Cover: The Kid LAROI, Central Cee & Jung Kook",b1fe8094-baff-4b31-ad95-633ea2523d97
37i9dQZF1DX1WY4wcXo9Hn,scarf season,plaid shirt days and nights,24a9c255-93ba-425d-be0a-6c37831e22f7
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,"Reggaeton hits from  Darell, Bad Bunny, KAROL G, and more.🔥🥵",f5cd9123-2b0d-4227-b804-cec8ba20ee99
37i9dQZF1DX7aUUBCKwo4Y,Country Top 50,Country music's 50 most played songs in the world. Updated weekly. Cover: Morgan Wallen,29ed73be-b590-460f-b488-b441cd520ef3
37i9dQZF1DX8S0uQvJ4gaa,New Boots,New music discovery is what we're about. Try it on for size. Cover: Chris Lane,ca3ab6c3-5213-454a-80a1-55172a5c8535
37i9dQZF1DWWY64wDtewQt,phonk,the beat of your drift,d2706f24-0a66-4a26-a22b-69809e402a5d
