,topic_id,term_1_word,term_1_probability,term_2_word,term_2_probability,term_3_word,term_3_probability,term_4_word,term_4_probability,term_5_word,term_5_probability,term_6_word,term_6_probability,term_7_word,term_7_probability,term_8_word,term_8_probability,term_9_word,term_9_probability,term_10_word,term_10_probability,term_11_word,term_11_probability,term_12_word,term_12_probability,term_13_word,term_13_probability,term_14_word,term_14_probability,term_15_word,term_15_probability
0,0,bitch,0.2163595,fuck,0.15732658,nigga,0.09730176,shit,0.05040713,hoe,0.04036567,gon,0.034596715,pussy,0.031005751,niggas,0.030714037,money,0.01999155,bout,0.019244334,rich,0.019133274,ver,0.018587507,lot,0.01402084,tell,0.009943184,vece,0.0086055035
1,1,comin,0.1279093,different,0.10956302,easy,0.08731137,safe,0.06840711,tonight,0.05879796,paro,0.008111062,numb,0.0077268286,frente,0.006465665,nunca,0.0051229745,barrio,0.00490362,vuelta,0.0041374248,guard,0.0037832684,altura,0.0032952372,mono,0.0029638745,sentir,0.0029317513
2,2,voy,0.061622236,dime,0.044046525,mejor,0.03641408,string,0.03530164,miracle,0.034976505,super,0.032350317,bear,0.02834495,extra,0.027460989,aunque,0.027249124,solo,0.020284507,drum,0.01605625,ticket,0.012985003,dio,0.01234755,coffee,0.012026638,door,0.011604405
3,3,round,0.10856293,glock,0.095447645,think,0.06717577,stare,0.051007003,midnight,0.049669802,root,0.035589136,monster,0.026491186,mirror,0.022960428,hero,0.01990158,sexy,0.0113214245,wise,0.01043276,watch,0.009615965,jacket,0.009367905,skrrt,0.008896204,anti,0.008346941
4,4,back,0.06667637,give,0.06221155,shake,0.047218923,big,0.03161233,put,0.02719376,play,0.0244407,break,0.01998082,lookin,0.019793179,hell,0.019489124,truck,0.018445393,young,0.017146599,gettin,0.015810909,wild,0.015770046,lil,0.01548645,ass,0.015316577
5,5,truth,0.07162333,rain,0.039822854,save,0.0385236,anymore,0.030366538,sorry,0.0284473,dirt,0.027923988,soul,0.023396013,lock,0.020496534,demon,0.020319248,ahead,0.01991285,chain,0.01981931,mistake,0.019011814,throw,0.01844489,ready,0.017545518,cover,0.017118027
6,6,game,0.06429475,mean,0.04062712,burn,0.03824866,watch,0.033877004,set,0.028815698,money,0.02561411,learn,0.023286317,deep,0.023008047,world,0.021126643,memory,0.01946976,babe,0.018821599,trip,0.017676273,blood,0.017448336,thing,0.017030947,win,0.017013878
7,7,lonely,0.13732994,quick,0.08694954,question,0.05799003,wide,0.043332856,force,0.032182265,awake,0.026843201,meet,0.02492967,linger,0.015397031,wonderin,0.012334792,conversation,0.0106572,counter,0.00786116,enchant,0.0056799217,laughter,0.00496924,vacancy,0.004600475,spend,0.0045667295
8,8,hard,0.084815204,somethin,0.06909425,doin,0.05074258,grow,0.039614417,fine,0.035128355,morning,0.030640548,smoke,0.026916808,floor,0.025583694,waste,0.02384378,crack,0.019097978,leave,0.016789945,feeling,0.015823988,slowly,0.015703866,mind,0.015682518,drown,0.014493701
9,9,ride,0.117447466,feel,0.1056943,road,0.064898975,free,0.053380806,hour,0.04393348,today,0.034265574,moon,0.033167236,high,0.02789379,pocket,0.02375061,pass,0.020411128,broken,0.019922543,heat,0.015696008,match,0.015345816,kiss,0.014908182,dale,0.011878376
10,10,time,0.034942437,go,0.029088551,feel,0.019508686,find,0.018034957,leave,0.017767858,make,0.017678058,day,0.016730577,low,0.015808063,heart,0.014700869,eye,0.014328963,hear,0.014311861,life,0.013922271,ticket,0.013893595,lose,0.013291315,break,0.012521026
11,11,gimme,0.15947726,quiere,0.05927371,beb,0.041603804,hacer,0.039342396,baile,0.023948768,sabe,0.02035626,cabr,0.019353168,pickin,0.016687747,ndote,0.015670778,vino,0.015101486,haga,0.01458893,que,0.013775409,puse,0.012096468,esconde,0.008015312,full,0.006841076
12,12,hand,0.14273457,waitin,0.06420611,hold,0.04782279,breath,0.04366014,middle,0.03276572,disappear,0.021496858,short,0.020132642,spark,0.01933002,liar,0.017240671,shy,0.01718759,cry,0.016689854,bite,0.015906388,ugly,0.013154946,ough,0.010848581,nadie,0.010318344
13,13,away,0.055631004,wish,0.0396726,walk,0.037093043,run,0.03643715,drive,0.035951268,fly,0.03495515,heart,0.031927668,remember,0.03103163,know,0.02810837,leave,0.017996626,smile,0.017555583,car,0.016891263,arm,0.016008325,bottle,0.015415034,drink,0.015077658
14,14,girl,0.12320193,get,0.055122685,boy,0.050038062,real,0.02729754,shit,0.02566572,hit,0.02481343,pull,0.024248773,high,0.021656115,damn,0.021422293,slow,0.019903122,bar,0.016397744,dope,0.016150618,murder,0.016034372,shoot,0.01519992,talk,0.014940967
15,15,make,0.20987654,dance,0.0676189,jump,0.042738624,body,0.038120344,pop,0.036273964,water,0.030890103,summer,0.029339982,moment,0.018223576,wave,0.017554838,fight,0.017340133,wanna,0.016048212,clear,0.015918076,hot,0.014004328,stone,0.013340805,happen,0.013276424
16,16,love,0.2213042,baby,0.11705336,night,0.047946364,light,0.04486908,bring,0.023629352,crazy,0.01809309,sweet,0.017695034,put,0.015601559,feel,0.014573737,back,0.014057842,heart,0.011997468,home,0.01120898,pack,0.010438272,road,0.010245792,friend,0.009167499
17,17,rock,0.09252002,wit,0.07614035,baby,0.05626792,snap,0.029406661,silver,0.026326774,lady,0.025479335,flow,0.02416796,cuerpo,0.021974908,tre,0.021450026,puede,0.019978156,pare,0.018057935,aqu,0.0149438325,chingar,0.012507092,pen,0.01212207,sexo,0.012062555
18,18,hood,0.074542426,diamond,0.036228903,bag,0.033099487,thick,0.030152,hit,0.029719612,cash,0.02348172,boyfriend,0.021645626,figure,0.021412244,key,0.020560987,spend,0.020191694,gyal,0.018228753,rap,0.017447874,tap,0.017322386,club,0.01637507,pistol,0.016166562
19,19,fall,0.27060166,story,0.0780681,lip,0.07697809,music,0.054787867,expect,0.019416852,reach,0.018284308,mark,0.013342899,tooth,0.013161984,crash,0.012358457,persona,0.0059415717,hollow,0.0058606346,shock,0.005721163,ven,0.0055496404,sayin,0.0039478247,diste,0.003684793
