,0,1,2
0,5u5rY87oaj6Tk8DL4HxQqy,paro,2
1,5u5rY87oaj6Tk8DL4HxQqy,subo,2
2,5u5rY87oaj6Tk8DL4HxQqy,altura,2
3,5u5rY87oaj6Tk8DL4HxQqy,dime,2
4,5u5rY87oaj6Tk8DL4HxQqy,nunca,2
5,5u5rY87oaj6Tk8DL4HxQqy,full,1
6,5u5rY87oaj6Tk8DL4HxQqy,beb,1
7,5u5rY87oaj6Tk8DL4HxQqy,apaga,1
8,5u5rY87oaj6Tk8DL4HxQqy,llamando,1
9,5u5rY87oaj6Tk8DL4HxQqy,haga,1
10,5u5rY87oaj6Tk8DL4HxQqy,quiere,1
11,5u5rY87oaj6Tk8DL4HxQqy,inevitable,1
12,5u5rY87oaj6Tk8DL4HxQqy,mirando,1
13,5u5rY87oaj6Tk8DL4HxQqy,cable,1
14,5u5rY87oaj6Tk8DL4HxQqy,culpable,1
15,1BxfuPKGuaTgP7aM0Bbdwr,summer,9
16,1BxfuPKGuaTgP7aM0Bbdwr,roll,4
17,1BxfuPKGuaTgP7aM0Bbdwr,shape,3
18,1BxfuPKGuaTgP7aM0Bbdwr,breakable,3
19,1BxfuPKGuaTgP7aM0Bbdwr,body,3
20,1BxfuPKGuaTgP7aM0Bbdwr,blue,3
21,1BxfuPKGuaTgP7aM0Bbdwr,night,3
22,1BxfuPKGuaTgP7aM0Bbdwr,feeling,3
23,1BxfuPKGuaTgP7aM0Bbdwr,wait,3
24,1BxfuPKGuaTgP7aM0Bbdwr,rule,3
25,1BxfuPKGuaTgP7aM0Bbdwr,secret,2
26,1BxfuPKGuaTgP7aM0Bbdwr,cut,2
27,1BxfuPKGuaTgP7aM0Bbdwr,low,2
28,1BxfuPKGuaTgP7aM0Bbdwr,home,2
29,1BxfuPKGuaTgP7aM0Bbdwr,comin,2
30,2FDTHlrBguDzQkp7PVj16Q,gyal,7
31,2FDTHlrBguDzQkp7PVj16Q,fuck,4
32,2FDTHlrBguDzQkp7PVj16Q,diamond,3
33,2FDTHlrBguDzQkp7PVj16Q,sprinter,3
34,2FDTHlrBguDzQkp7PVj16Q,doin,3
35,2FDTHlrBguDzQkp7PVj16Q,give,3
36,2FDTHlrBguDzQkp7PVj16Q,send,3
37,2FDTHlrBguDzQkp7PVj16Q,suv,3
38,2FDTHlrBguDzQkp7PVj16Q,squintin,2
